transaction_id,customer_id,timestamp,amount,merchant_cat,new_device,lat,lon,home_lat,home_lon,dist_from_home_km,hour,is_fraud
10152,216,2025-06-01T00:03:18,34.42,5812,0,42.722449,-111.124933,42.735616,-111.09534,2.826,0,0
16414,963,2025-06-01T00:03:40,10.56,4821,0,28.176446,-123.581882,28.162116,-123.6172,3.811,0,0
1160,618,2025-06-01T00:04:22,2.94,4899,0,33.315837,-85.619365,33.315829,-85.620286,0.086,0,0
13875,643,2025-06-01T00:05:08,5.79,4111,0,26.185768,-67.200428,26.175129,-67.227102,2.913,0,0
8590,378,2025-06-01T00:10:34,344.29,5812,0,35.511044,-101.126567,35.509697,-101.125539,0.176,0,0
19601,856,2025-06-01T00:13:46,80.37,4821,0,36.225092,-103.679343,36.275221,-103.689903,5.654,0,0
11727,1204,2025-06-01T00:18:32,137.85,5311,0,42.059429,-85.039039,42.052787,-84.994568,3.745,0,0
7135,1279,2025-06-01T00:26:42,0.5,4899,0,46.772483,-79.414494,45.787471,-80.792798,152.364,0,0
10421,36,2025-06-01T00:39:02,156.65,5999,0,29.540591,-90.571605,29.547313,-90.620586,4.797,0,0
4972,195,2025-06-01T00:40:00,12.49,5999,0,28.690827,-74.115837,28.678824,-74.133502,2.18,0,0
13538,738,2025-06-01T00:41:26,1.39,5311,0,30.640466,-110.97751,32.249718,-107.762713,353.564,0,0
4392,2024,2025-06-01T00:41:34,28.26,5732,0,25.580802,-70.604071,30.959062,-75.517969,767.384,0,0
9478,1019,2025-06-01T00:42:13,5.07,4899,0,25.96091,-93.050749,25.96609,-93.028969,2.252,0,0
855,1385,2025-06-01T00:50:16,622.39,5812,0,48.015226,-68.462708,48.008981,-68.456804,0.822,0,0
17540,1043,2025-06-01T00:50:54,51.67,5311,1,40.73591,-73.499649,40.732426,-73.504344,0.554,0,0
4961,267,2025-06-01T00:56:03,75.23,6011,0,31.861984,-98.623589,31.833282,-98.619868,3.211,0,0
15164,866,2025-06-01T00:56:55,92.37,5411,0,46.687259,-105.159354,46.695359,-105.171881,1.313,0,0
10439,1874,2025-06-01T00:59:58,6.62,4111,0,48.623362,-114.553056,48.641121,-114.558914,2.021,0,0
12466,1597,2025-06-01T01:12:41,140.98,4821,0,29.560945,-90.311725,29.606108,-90.308576,5.031,1,0
19314,1092,2025-06-01T01:27:39,31.06,6011,0,40.487106,-105.29175,40.475661,-105.299945,1.449,1,0
16330,1196,2025-06-01T01:34:12,63.89,4899,0,29.58898,-99.863722,29.615216,-99.855635,3.02,1,0
3118,312,2025-06-01T01:42:28,7.22,5814,0,34.925792,-74.214492,35.005345,-74.225324,8.901,1,0
16371,151,2025-06-01T01:46:58,580.6,4899,0,44.756655,-67.38799,44.831006,-67.393365,8.278,1,0
11377,1378,2025-06-01T01:48:46,75.7,5311,0,45.942694,-69.703453,45.913818,-69.683059,3.577,1,0
15264,2077,2025-06-01T01:57:41,164.15,5732,0,48.496408,-77.248308,48.43665,-77.181674,8.264,1,0
2196,1175,2025-06-01T01:57:57,109.9,4899,0,37.077763,-78.907471,37.100287,-78.931605,3.295,1,0
8823,17,2025-06-01T02:10:37,77.52,5812,0,38.254719,-115.619011,38.310035,-115.687559,8.581,2,0
7093,2446,2025-06-01T02:12:03,19.47,4899,0,38.707877,-78.358732,38.717675,-78.361706,1.12,2,0
372,2378,2025-06-01T02:41:59,20.64,4821,0,39.565067,-85.276974,39.450865,-85.21543,13.753,2,0
10029,2156,2025-06-01T02:46:01,27.63,5814,0,45.553997,-74.331475,45.564649,-74.404563,5.812,2,0
19338,1155,2025-06-01T02:46:28,35.88,4899,0,37.815789,-105.88959,37.81216,-105.893652,0.539,2,0
13076,1637,2025-06-01T02:46:40,94.7,5732,0,34.673411,-95.305772,34.680506,-95.326389,2.044,2,0
12903,1437,2025-06-01T02:54:14,108.95,5999,0,30.30142,-104.474658,30.248901,-104.466774,5.889,2,0
17051,770,2025-06-01T02:56:03,717.42,5411,0,39.843805,-116.025447,39.883583,-116.009755,4.621,2,0
